year,recipient_iso3,pmm_fh,pmm_polity,gdp,pop,unemp,disaster,civilwar
2009,MOZ,3.5,5,10426669785,22894718,3.17,12.50000002,0
2009,NAM,6,10,10780286075,2081039,21.99,91.99999902,0
2009,NER,1.5,-7,7230912194,15843131,0.91,3,0
2009,NGA,2,-6,334665000000,154324939,3.75,31,1
2009,RWA,1.5,-7,5702943253,9782770,1.02,0,1
2009,SHN,2.5,-6,231892000000,29360827,8.1,10.99999993,0
2009,STP,6,9,184352542.7,175877,15.12,0,0
2009,SEN,4.5,7,15592587304,12335092,10.25,6.000000002,0
2009,SYC,7,8,915423405.1,87298,10.16,0,0
2009,SLE,3.5,-1,2447188210,6272735,3.99,102.9999996,0
2009,SOM,2,4,30168134365,11717691,13.32,0,1
2009,ZAF,5,7,364276000000,50477013,23.52,34.99999997,0
2009,SSD,5,6,13841690704,9142258,12.52,0,0
2009,SDN,1,-9,63433296122,33783779,13,20.00000004,1
2009,SWZ,4.5,7,4276537205,1057462,27.39,0,0
2009,TZA,4,1,30106541769,43073830,2.5,28.99999993,0
2009,TGO,2.5,-6,3232314271,6250840,2.8,0,0
2009,UGA,1,-7,25141526759,31411096,3.6,0,1
2009,ZMB,1,-7,18373423318,13215142,10.5,31.00000021,0
2009,ZWE,5,7,10061936650,12526964,5.03,0,0
2009,AIA,1,-6,66074572472,7261541,17.63,68.00000002,0
2009,ATG,7,8,1246427315,86743,10.66,0,0
2009,BRB,7,10,4636000000,281107,10.02,0,0
2009,BLZ,7,9,1337019313,314655,8.43,0,0
2009,CRI,7,10,35742684148,4520739,7.71,22.00000066,0
2009,CUB,4,6,62826231727,11226711,1.67,3.000000029,0
2009,DMA,7,9,490526476.1,70848,7.57,0,0
2009,DOM,3.5,-1,49714185923,9576736,5.47,10.00000001,0
2009,SLV,3.5,-2,18067581907,6157678,7.33,118.9999918,0
2009,GRD,6,10,774975419.9,105787,8.41,0,0
2009,GTM,5,9,39536140383,14000190,3.36,1.999999954,0
2009,HTI,5.5,9,12122895415,9798046,15.9,21.00000004,0
2009,HND,6,8,15269613869,8150780,3.29,7.999999994,0
2009,JAM,6,10,13416048458,2795839,11.36,0,0
2009,MEX,6,10,1006300000000,112463886,5.36,49.00000071,0
2009,MSR,5.5,6,28487963591,9524532,2.27,35.99999999,0
2009,NIC,6.5,9,8388790341,5745538,8.16,0.999999993,0
2009,PAN,7,10,27819050421,3579215,3.68,0.999999992,0
2009,KNA,7,9,764830622.5,48599,11.27,0.999999858,0
