recipient,year,dac,wb,non_dac,g7,wb_budget,recipient_iso3
North Macedonia,2009,129.29,-0,4.73,75.68,1683.5,MKD
Moldova,2009,101.23,21.23,6.15,57,1683.5,MDA
Montenegro,2009,46.04,4.88,2.22,28.01,1683.5,MNE
Serbia,2009,276.26,22.31,2.89,193.61,1683.5,SRB
Turkey,2009,481.93,-0,3.21,300.94,1683.5,TUR
Ukraine,2009,401.13,0,24.17,316.14,1683.5,UKR
Algeria,2009,177.07,0,10.04,113.78,1683.5,DZA
Egypt,2009,569.05,-0,113.28,476.95,1683.5,EGY
Libya,2009,29.89,0,0.72,28.91,1683.5,LBY
Morocco,2009,615.77,-0,18.53,409.45,1683.5,MAR
Tunisia,2009,299.44,-0,-0,189.38,1683.5,TUN
Angola,2009,147.03,19.63,0.01,70.32,1683.5,AGO
Benin,2009,305.68,87.23,3.32,179.73,1683.5,BEN
Botswana,2009,252.52,-0,-0,246.43,1683.5,BWA
Burkina Faso,2009,421.18,216.22,0.64,237.74,1683.5,BFA
Burundi,2009,250.23,58.96,0.09,133.56,1683.5,BDI
Cabo Verde,2009,151.25,0.47,-0,63.62,1683.5,CPV
Cameroon,2009,247.26,45.9,0.81,214.73,1683.5,CMR
Central African Republic,2009,95.43,27.6,0.43,74.61,1683.5,CAF
Chad,2009,362.01,3.66,-0,283.48,1683.5,TCD
Comoros,2009,24.23,-0,0.77,24.15,1683.5,COM
Congo,2009,200.76,11.11,0.19,147.82,1683.5,COG
C�te d'Ivoire,2009,1559.34,179.11,2.24,1421.72,1683.5,CIV
Democratic Republic of the Congo,2009,1063.06,387.54,1.71,691.19,1683.5,COD
Djibouti,2009,85.45,6.54,10.37,81.4,1683.5,DJI
Equatorial Guinea,2009,21.01,-0,-0,2.94,1683.5,GNQ
Eritrea,2009,39.95,4.56,17.93,20.47,1683.5,ERI
Ethiopia,2009,1818.53,1001.81,18.73,1467.8,1683.5,ETH
Gabon,2009,45.67,0,0.01,46,1683.5,GAB
Gambia,2009,19.95,15.75,1.02,21.57,1683.5,GMB
Ghana,2009,782.6,238.5,5.83,568.51,1683.5,GHA
Guinea,2009,159.08,-0,-0,149.47,1683.5,GIN
Guinea-Bissau,2009,45.39,14.13,0.01,17.97,1683.5,GNB
Kenya,2009,1255.73,80.29,4.07,972.71,1683.5,KEN
Lesotho,2009,68.68,10.87,4.51,42.37,1683.5,LSO
Liberia,2009,334.11,40.98,0.16,247.63,1683.5,LBR
Madagascar,2009,232.51,34.35,1.36,208.43,1683.5,MDG
Malawi,2009,428.16,78.9,0.11,309.47,1683.5,MWI
Mali,2009,550.46,160.94,1.09,349.87,1683.5,MLI
Mauritania,2009,107.63,36.73,20.07,67.19,1683.5,MRT
Mauritius,2009,56.82,-0,-0,55.97,1683.5,MUS
Mayotte,2009,469.09,0,0,469.09,1683.5,MYT
Mozambique,2009,1232.85,205.57,0.04,605.28,1683.5,MOZ
Namibia,2009,242.98,0,-0,214.37,1683.5,NAM
Niger,2009,236.73,37.45,1.66,159.59,1683.5,NER
Nigeria,2009,709.91,459.45,1.58,655.17,1683.5,NGA
Rwanda,2009,507.44,109.9,2.21,326.07,1683.5,RWA
Saint Helena,2009,31.22,0,0,31.22,1683.5,SHN
Sao Tome and Principe,2009,17.3,1.06,0.01,3.05,1683.5,STP
Senegal,2009,475,129.71,3.9,334.66,1683.5,SEN
Seychelles,2009,9.89,0,0.05,9.83,1683.5,SYC
Sierra Leone,2009,181.55,34.79,0.29,154.96,1683.5,SLE
Somalia,2009,499.12,0,7.98,335.33,1683.5,SOM
South Africa,2009,905.95,0,2.29,742.67,1683.5,ZAF
South Sudan,2009,0,0,0,0,1683.5,SSD
Sudan,2009,1966.52,-0,55.9,1625.23,1683.5,SDN
Eswatini,2009,20.38,-0,-0,15.98,1683.5,SWZ
Tanzania,2009,1361.18,797.9,-0,811.25,1683.5,TZA
Togo,2009,353.25,6.03,0.88,104.29,1683.5,TGO
Uganda,2009,1009.42,381.52,0.31,663.68,1683.5,UGA
Zambia,2009,689.09,41.11,0.4,434.38,1683.5,ZMB
Zimbabwe,2009,635.15,0,0.14,462.84,1683.5,ZWE
Anguilla,2009,1.52,0,0,1.52,1683.5,AIA
Antigua and Barbuda,2009,2.63,0,0,2.54,1683.5,ATG
Barbados,2009,2.89,0,0,2.83,1683.5,BRB
