recipient,year,dac,wb,non_dac,g7,wb_budget,recipient_iso3,pmm_fh,pmm_polity,gdp,pop,unemp,disaster,civilwar
Democratic Republic of the Congo,2011,3921.83,355.55,-0,3457.06,1777.5,COD,4,-1,23048292323,66755151,4.22,0,1
Djibouti,2011,77,0.7,5.84,75.08,1777.5,DJI,6.5,10,13425341013,853671,11.51,0,0
Equatorial Guinea,2011,18.05,-0,-0,4.76,1777.5,GNQ,5,7,17378785259,986861,8.42,0,0
Eritrea,2011,26.69,11.21,3.06,18.02,1777.5,ERI,2.5,-8,1727482211,3213969,6.76,0,0
Ethiopia,2011,1811.99,642.14,13.64,1521.62,1777.5,ETH,3,-2,33279878090,90139928,2.3,0,1
Gabon,2011,51.77,0,1.41,51.43,1777.5,GAB,2.5,-7,15391860684,1684629,20.38,0,0
Gambia,2011,29.88,9.99,1.35,22.22,1777.5,GMB,4,6,1417815865,1848142,9.41,0,0
Ghana,2011,843.3,381.02,0.18,675.43,1777.5,GHA,6,9,36720063513,25387713,5.62,14,0
Guinea,2011,73.89,18.02,0.34,65.28,1777.5,GIN,4,7,7238091888,10420459,4.45,0,0
Guinea-Bissau,2011,44.11,10.24,0.11,23.84,1777.5,GNB,4.5,7,918589222.8,1562996,3.08,0,0
Kenya,2011,1509.96,149.14,4.5,1245,1777.5,KEN,4,7,42443399231,43178270,2.86,32.99999956,0
Lesotho,2011,144.7,15,2.61,127.58,1777.5,LSO,6,8,2337848144,2003793,26.04,26.00000036,0
Liberia,2011,475.93,56.62,0.1,330.88,1777.5,LBR,2,-4,2161851301,4017446,2.24,0,0
Madagascar,2011,207.42,39.98,3.2,178.82,1777.5,MDG,4.5,7,10140281078,21743970,2.02,35.00000004,0
Malawi,2011,412.93,63.9,-0,315.09,1777.5,MWI,3,4,7297481088,14962118,5.93,4.000000005,0
Mali,2011,721.72,135.86,2.85,510.2,1777.5,MLI,1,-7,11032624437,15514593,6.9,1,0
Mauritania,2011,110.75,30.08,10.95,78.8,1777.5,MRT,1.5,-4,5863763325,3598646,9.86,0,1
Mauritius,2011,96.85,-0,-0,95.35,1777.5,MUS,1.5,-7,10411574172,1252404,7.45,0,0
Mayotte,2011,0,0,0,0,1777.5,MYT,1,-7,8318842593,3848449,6.66,1,0
Mozambique,2011,1536.93,86.41,1.83,833.54,1777.5,MOZ,5.5,8,11928323142,24187500,3.3,23.00000006,0
Namibia,2011,229.25,0,1,204.74,1777.5,NAM,6,7,12013342334,2156698,19.33,107.9999999,0
Niger,2011,274.75,92.8,4.44,184.89,1777.5,NER,5,6,8036303921,17114770,0.32,16.00000002,0
Nigeria,2011,830.07,583.1,0.92,790.62,1777.5,NGA,4,6,380642000000,162805080,3.77,185.0000002,1
Rwanda,2011,552.49,260.98,7.88,390.59,1777.5,RWA,5,6,6608387228,10293333,1.1,14.00000002,1
Saint Helena,2011,70.06,0,0,70.06,1777.5,SHN,3.5,-1,2334665710,5667436,2.24,2.999999999,0
Sao Tome and Principe,2011,32.69,17.02,0,5.67,1777.5,STP,7,10,205301689.1,184521,14.1,0,0
Senegal,2011,521.88,155.26,7.3,418.02,1777.5,SEN,1,2,16336387692,13033814,10.36,0,1
Seychelles,2011,5.43,0,4.63,3.54,1777.5,SYC,7,8,1046438131,87441,9.36,0,0
Sierra Leone,2011,152.37,54.61,4.49,128.17,1777.5,SLE,4.5,7,2740829819,6563238,4.29,21.00000003,0
Somalia,2011,662.53,0,82.88,378.34,1777.5,SOM,1,-2,43630549585,12376305,13.38,0,1
South Africa,2011,1012.88,0,0.87,892.79,1777.5,ZAF,4.5,6,387677000000,52003759,24.64,65.99999997,0
South Sudan,2011,338.44,0,0.69,209.91,1777.5,SSD,1,-8,13924490001,9830695,12.57,0,1
Sudan,2011,1267.69,-0,17.52,1025.67,1777.5,SDN,6,9,65622965329,35349676,17.44,19.99999998,1
Eswatini,2011,65.6,-0,3.52,61.43,1777.5,SWZ,4.5,6,4538528100,1072029,26.15,0,0
Tanzania,2011,1532.45,233.03,6.62,997.56,1777.5,TZA,4.5,1,34470432851,45673520,3.47,36.99999991,0
Togo,2011,285.36,50.39,0.33,75.86,1777.5,TGO,4.5,-1,3648885268,6595939,1.98,0,0
Uganda,2011,935.63,154.57,2.04,669.27,1777.5,UGA,4.5,6,29053229577,33476772,3.58,50.00000052,1
Zambia,2011,656.2,65.03,4.95,461.49,1777.5,ZMB,4,6,21393257280,14023199,10.34,0,0
Zimbabwe,2011,509.43,0,0.07,353.76,1777.5,ZWE,1.5,-9,13750837258,12894323,5.37,0,0
Anguilla,2011,0.34,0,0,0.34,1777.5,AIA,4.5,6,35975633172,7144774,7.65,10,0
Antigua and Barbuda,2011,8.28,0,0.05,7.31,1777.5,ATG,6,9,1126201417,89250,8.4,0,0
Barbados,2011,0,0,0,0,1777.5,BRB,6,10,4499500000,282987,11.19,0,0
Belize,2011,5.34,0,-0,4.01,1777.5,BLZ,6,7,1403630793,330236,8.4,0,0
Costa Rica,2011,24.41,-0,0.43,17.37,1777.5,CRI,3.5,5,39316783581,4633086,10.14,3.999999999,0
Cuba,2011,53.37,0,0.52,27.45,1777.5,CUB,2.5,-4,66130664082,11236671,3.18,0,0
Dominica,2011,6.47,0.24,-0,5.58,1777.5,DMA,7,8,492721974.7,70912,7.22,0,0
Dominican Republic,2011,166.74,-0,0.08,118.71,1777.5,DOM,5,9,55547842686,9813219,6.09,12.00000016,0
El Salvador,2011,252.65,-0,0.28,195.2,1777.5,SLV,5.5,8,19151773848,6210567,4.3,49.0000006,0
Grenada,2011,6.85,1.19,-0,5.94,1777.5,GRD,7,10,776911332,106786,8.06,0,0
Guatemala,2011,259.46,0,0.66,145.7,1777.5,GTM,2,-4,42370160782,14521515,3.12,75.00000173,0
Haiti,2011,1127.57,57.61,1,960.27,1777.5,HTI,1.5,-6,12379266072,10100320,14.7,36.99999897,0
Honduras,2011,147.29,119.81,1.28,103.88,1777.5,HND,1.5,-7,16446892853,8480670,4.48,33.00000011,0
Jamaica,2011,-0,0,-0,-0,1777.5,JAM,2.5,2,13449322261,2825932,12.7,0,0
Mexico,2011,821.47,0,1.49,827.65,1777.5,MEX,6,9,1096550000000,115695468,5.17,120.7861037,0
Montserrat,2011,39.32,0,0,39.32,1777.5,MSR,4.5,8,10703326376,3706555,12.7,0,0
Nicaragua,2011,297.17,45.31,59.3,116.71,1777.5,NIC,6,9,9311968296,5903035,6.45,18.00000003,0
Panama,2011,71.44,0,0.25,64.68,1777.5,PAN,3,2,32771096568,3706479,2.31,4.99999987,0
Saint Kitts and Nevis,2011,1.03,-0,-0,0.21,1777.5,KNA,7,10,774069593.8,49442,15.12,0,0
Saint Lucia,2011,1.91,4.3,4.26,0.22,1777.5,LCA,7,9,1568283096,175538,18.86,0,0
Saint Vincent and the Grenadines,2011,0.66,0.42,-0,-0,1777.5,VCT,5.5,6,678369571.7,108315,19.31,0,0
Trinidad and Tobago,2011,0,0,0,0,1777.5,TTO,6,8,22092725498,1336180,3.43,1.000000564,0
Argentina,2011,54.72,0,0.81,53.78,1777.5,ARG,2.5,-6,449062000000,41261490,7.18,1.999999996,0
Bolivia,2011,376.42,38.26,0.07,168.16,1777.5,BOL,5.5,6,20672216286,10212951,2.22,52.0000004,0
Brazil,2011,539.26,0,1.7,444.97,1777.5,BRA,6,8,2296660000000,197514541,6.92,3631.997548,0
Chile,2011,52.51,-0,0.52,49.57,1777.5,CHL,1,-5,231892000000,17233584,7.34,1.000000002,0
Colombia,2011,912.03,-0,0.95,774.28,1777.5,COL,6,9,306473000000,45662747,10.11,692.0000096,1
Ecuador,2011,121.56,-0,0.79,67.43,1777.5,ECU,2.5,-7,75028081292,15243885,3.46,34.00000084,0
Guyana,2011,58.48,0.7,0.04,29.39,1777.5,GUY,3.5,5,3616203677,752029,12.35,0,0
Paraguay,2011,46.64,-0,0.21,23.09,1777.5,PRY,1.5,-9,28405295331,6333981,4.67,1.999999783,0
Peru,2011,495.05,0,0.62,391.64,1777.5,PER,3,-4,156863000000,29264314,3.27,74.50000018,0
Suriname,2011,56.86,0,0.01,13.43,1777.5,SUR,6.5,10,4623921716,535177,7.54,0,0
Uruguay,2011,0.75,0,0.96,-0,1777.5,URY,5,8,42364020185,3368926,6.31,0,0
Venezuela,2011,29.36,0,0.32,27.56,1777.5,VEN,1.5,-7,409614000000,28887873,6.9,29.00000003,0
Cambodia,2011,432.12,31.16,7.88,230.37,1777.5,KHM,4,7,12037055708,14541421,0.58,247.0000017,0
China (People's Republic of),2011,566.21,-0,-0,487.33,1777.5,CHN,4.5,6,6668540000000,1344130000,4.5,843.9371525,0
Democratic People's Republic of Korea,2011,34.38,0,22.54,8.75,1777.5,PRK,4.5,0,5642178580,24673392,2.9,74.00000026,0
Indonesia,2011,184.11,-0,-0,-0,1777.5,IDN,6,10,801682000000,245115988,5.15,128.9999995,0
Lao People's Democratic Republic,2011,232.2,25.25,15.78,90.74,1777.5,LAO,2,-6,7700771123,6347564,0.71,48.00000018,0
Malaysia,2011,25.68,0,0.31,18.34,1777.5,MYS,1,-8,268517000000,28650962,3.05,28.00000056,0
Mongolia,2011,233.13,49.6,0.9,160.68,1777.5,MNG,6,9,8432599136,2770357,4.77,0,0
Philippines,2011,-0,-0,-0,-0,1777.5,PHL,5,8,216408000000,95570049,3.59,666.0000039,1
Thailand,2011,-0,-0,0.35,-0,1777.5,THA,3,-2,343971000000,67518379,0.66,796.0000067,1
Timor-Leste,2011,207.87,1.5,0.25,67.86,1777.5,TLS,2.5,-7,933017880.7,1113154,3.53,0,0
Viet Nam,2011,1697.62,890.92,7.43,1209.36,1777.5,VNM,4,-6,123166000000,88871384,1,138.000001,0
Afghanistan,2011,5734.33,137.45,148.29,5054.76,1777.5,AFG,1.5,-7,15924179996,30117411,11.51,61.99999998,1
Armenia,2011,182.32,28.09,5.61,164.83,1777.5,ARM,1.5,-6,9695518330,2876536,18.44,1.420451152,0
Azerbaijan,2011,147.99,42.16,19.01,125.71,1777.5,AZE,6,8,52077032844,9173082,5.42,0,0
Bangladesh,2011,964.26,95.49,-0,620.12,1777.5,BGD,3.5,0,122731000000,149273134,3.71,40.00000001,0
Bhutan,2011,57.68,30.86,0.38,27.8,1777.5,BTN,4.5,8,1671561537,693297,3.23,0.999999999,0
Georgia,2011,311.18,33.51,6.55,259.95,1777.5,GEO,7,9,13149524980,3756441,19.63,7.000000009,0
India,2011,1705.13,727.39,1.3,1607.63,1777.5,IND,2.5,-6,1763440000000,1250287939,5.65,824.7629692,1
Kazakhstan,2011,25.39,0,109.65,19.15,1777.5,KAZ,1,-4,159003000000,16557202,5.39,5.497074454,0
Kyrgyzstan,2011,164.71,63.98,62.25,133.8,1777.5,KGZ,4.5,8,5079922897,5514600,8.53,3.999999886,0
Maldives,2011,17.47,4.11,4.91,4.81,1777.5,MDV,6.5,10,2809898201,380493,8.86,0,0
Myanmar,2011,237.6,0,-0,141.43,1777.5,MMR,2,-4,54398944605,50990612,0.79,224.9999979,1
Nepal,2011,430.76,136.49,0.44,254.78,1777.5,NPL,4,-1,16550239852,27041220,2.11,140.0000003,0
Pakistan,2011,2493.8,631.51,217.48,2288.85,1777.5,PAK,4,-1,182035000000,183340168,0.8,510.9999997,1
Sri Lanka,2011,316.37,122.26,6.42,177.73,1777.5,LKA,2,-3,61493396998,20398496,4.12,64.99999945,0
Tajikistan,2011,136.79,24.27,8.96,114.79,1777.5,TJK,4.5,7,6059699828,7697507,10.16,0,1
Turkmenistan,2011,13.2,0,10.26,11.78,1777.5,TKM,5,9,25902882089,5174076,4,1.06860584,0
Uzbekistan,2011,50.59,32.85,11.32,22.68,1777.5,UZB,2.5,-4,50313860182,29339400,5,13,0
Iran,2011,65.24,0,8.39,54.09,1777.5,IRN,6.5,9,499687000000,74634959,12.45,2.000000037,1
Iraq,2011,1815.83,37.98,23.97,1727.33,1777.5,IRQ,6,8,148970000000,30725305,8.15,6.000000001,1
Jordan,2011,525.18,-0,230.96,472.39,1777.5,JOR,1,-4,27876505257,7662858,12.9,0,0
Lebanon,2011,245.52,0,26.6,197.17,1777.5,LBN,4.5,9,38777346378,5202022,6.39,0,0
Oman,2011,0,0,0,0,1777.5,OMN,6,8,58426309456,3251102,3.64,13.99999969,0
Syrian Arab Republic,2011,76.11,-0,94.72,54.39,1777.5,SYR,3,5,9921275541,21081814,8.6,0,1
West Bank and Gaza Strip,2011,1460.49,0,74.37,1077.83,1777.5,PSE,3,-2,10611002274,3882986,17.6,0,0
Yemen,2011,289.39,-0,65.38,246.02,1777.5,YEM,6.5,8,26977011030,23807586,13.08,0,0
Cook Islands,2011,19.52,0,0.01,-0,1777.5,COK,4,5,103951000000,64563853,4.79,35.99999993,0
Fiji,2011,50.95,0,0.29,17.6,1777.5,FJI,4,6,3225464092,863451,4.41,0,0
Kiribati,2011,48.99,0.18,0,3.51,1777.5,KIR,7,10,158610338.3,104735,9.87,0,0
Marshall Islands,2011,89.5,0,0,87.36,1777.5,MHL,7,10,159424912.9,56524,8.52,0,0
Nauru,2011,29.36,0,0.01,1.38,1777.5,NRU,7,8,52320972.43,10069,8.15,1.999999998,0
Niue,2011,19.06,0,0,0.05,1777.5,NIU,7,10,5485158523,281107,12.2,0,0
Palau,2011,24.53,0,0.02,23.16,1777.5,PLW,7,8,198370840.4,17748,11.97,20.00000004,0
Papua New Guinea,2011,441.03,12.56,0.04,14.83,1777.5,PNG,5.5,7,14408588562,7472196,2.62,0,0
Samoa,2011,49.91,0.84,0.01,15.42,1777.5,WSM,6,10,690837857.3,187469,5.68,0,0
Solomon Islands,2011,236.95,3.89,-0,19.01,1777.5,SLB,4,-1,908377219,541522,1.28,0,0
Tokelau,2011,19.42,0,0,0,1777.5,TKL,5,7,10003670690,2810464,11.97,0,0
Tonga,2011,54.79,11.06,0.04,15.12,1777.5,TON,6,8,391852177.5,103558,1.92,0,0
Tuvalu,2011,22.44,0,2.52,10.87,1777.5,TUV,7,8,34215359.71,10626,8.41,21.00000003,0
Vanuatu,2011,73.77,-0,0.06,11.97,1777.5,VUT,6,7,691759344,242658,1.85,0,0
Wallis and Futuna,2011,103.93,0,0,103.83,1777.5,WLF,2.5,-8,7435096950,3770635,12.71,5.463254628,0
Albania,2012,145.71,13.11,24.74,80.27,1823.3,ALB,2.5,-6,12403877841,2900401,13.38,0,0
Belarus,2012,58.03,0,2.24,32.8,1823.3,BLR,6,8,61317669289,9464495,6.06,0,0
Bosnia and Herzegovina,2012,200.64,-0,12.72,94.1,1823.3,BIH,2,-4,17199074937,3604972,28.01,0,0
Croatia,2012,0,0,0,0,1823.3,HRV,3.5,4,58369186194,4267558,15.94,0,0
North Macedonia,2012,74.9,-0,9.02,55.66,1823.3,MKD,6,9,9588606960,2074275,31.02,0,0
Moldova,2012,119.43,67.28,21.72,72.9,1823.3,MDA,4.5,8,7337248195,2859458,5.58,0,0
Montenegro,2012,30.67,2.32,8.61,18.69,1823.3,MNE,3,-4,4160296612,620601,19.97,0,0
Serbia,2012,152.43,4.75,12.63,112.07,1823.3,SRB,1.5,0,42380207644,7199077,24,1.000000004,0
Turkey,2012,111.69,-0,-0,57.45,1823.3,TUR,5.5,6,905390000000,74651046,8.15,15.00000002,1
Ukraine,2012,407.91,0,15.84,316.37,1823.3,UKR,2.5,-7,143789000000,45593342,7.53,0,0
Algeria,2012,92.1,0,-0,75.93,1823.3,DZA,6,9,171522000000,37383899,10.97,68.99999965,1
Egypt,2012,280.25,-0,458.89,216.95,1823.3,EGY,2,-6,227809000000,86422240,12.6,5.000000013,0
Libya,2012,99.58,0,2.34,77.64,1823.3,LBY,1.5,-9,63275999127,6285751,19.03,0,0
Morocco,2012,818.9,-0,-0,699.95,1823.3,MAR,4,1,101060000000,33241898,8.99,0,0
Tunisia,2012,370.78,-0,50.15,340.41,1823.3,TUN,1,-7,44972672129,10846993,17.63,0,0
Angola,2012,130.95,33.5,0.78,104.92,1823.3,AGO,5.5,6,94115840393,25107925,7.37,0,0
Benin,2012,242.84,67.86,4.42,148.46,1823.3,BEN,5,8,10290312533,9729254,2.65,4,0
Botswana,2012,64.23,-0,0.32,56.24,1823.3,BWA,5,7,14164292445,2039551,17.86,0,0
Burkina Faso,2012,485.85,199.51,2.84,305.52,1823.3,BFA,4.5,8,11474677065,16571252,5.58,18.00000002,0
Burundi,2012,206.16,96.02,0.25,104.07,1823.3,BDI,2.5,-7,2208090234,9245992,1.67,0,0
Cabo Verde,2012,204.72,10.86,0.56,19.48,1823.3,CPV,6,8,1749086512,505241,11.21,0,0
Cameroon,2012,241.51,81.05,-0,213.27,1823.3,CMR,5.5,9,28487963591,21485267,3.84,25.00000001,0
Central African Republic,2012,66.51,39.21,0.3,49.98,1823.3,CAF,4.5,8,2345288465,4436411,4.38,0,1
Chad,2012,237.65,-0,0.69,199.98,1823.3,TCD,5.5,6,11625330987,12784748,1.73,20.00000002,0
Comoros,2012,27.51,2.33,10.79,26.79,1823.3,COM,4,6,975453592.6,723865,7.39,3.999999968,0
Congo,2012,45.96,27.51,0.88,42.09,1823.3,COG,2,-5,14760780244,4510197,10,18.99999998,0
C�te d'Ivoire,2012,1921.27,99.43,7.69,1528.44,1823.3,CIV,6.5,8,26365827347,21547188,7.22,0,0
Democratic Republic of the Congo,2012,1542.59,354.22,0.72,1246.48,1823.3,COD,1,-8,24681701508,69020749,4.49,1,1
Djibouti,2012,75.14,5.09,8.45,73.36,1823.3,DJI,2.5,-6,6853467858,868136,11.52,0,0
Equatorial Guinea,2012,12.19,-0,-0,3.42,1823.3,GNQ,5.5,10,18823461406,1031191,8.43,0,0
Eritrea,2012,12.83,1.05,49.91,9.42,1823.3,ERI,2.5,-9,65622965329,5667436,6.77,0,0
Ethiopia,2012,1711.15,701.68,14.51,1427.42,1823.3,ETH,5,7,36157859259,92726982,2.28,0,1
Gabon,2012,55.04,0,-0,54.92,1823.3,GAB,1.5,-7,16200099128,1749677,20.4,1.000000002,0
Gambia,2012,26.13,26.9,1.55,21.47,1823.3,GMB,5,8,1492131666,1905020,9.42,0,0
Ghana,2012,778.74,337.32,6.01,587.56,1823.3,GHA,5,8,40132381684,25996454,5.93,0,0
Guinea,2012,132.75,48.86,-0,122.08,1823.3,GIN,4,8,7666245932,10652032,4.45,0,0
Guinea-Bissau,2012,35.21,9.41,0.54,20.31,1823.3,GNB,6,9,902856701.3,1604981,3.08,0,0
Kenya,2012,1626.76,178.12,4.34,1389.61,1823.3,KEN,3,-8,44380180300,44343469,2.86,72.99996456,0
Lesotho,2012,159.01,-0,4.14,145.2,1823.3,LSO,5,9,2485946655,2014988,25.3,0,0
Liberia,2012,321.34,38.33,0.04,237.3,1823.3,LBR,3.5,1,2334665710,4135662,2.21,0,0
Madagascar,2012,172.36,43.25,1.79,148.62,1823.3,MDG,3.5,4,10445619788,22346641,0.6,34.99999977,0
Malawi,2012,585.47,146.03,0.06,478.18,1823.3,MWI,3.5,6,7435096950,15396010,5.94,2,0
Mali,2012,713.04,63.65,0.46,538.1,1823.3,MLI,4,8,10940310648,15979492,6.62,0,1
Mauritania,2012,151.65,34.71,47.23,135.92,1823.3,MRT,5.5,8,6125874318,3706555,9.87,0,0
Mauritius,2012,78.09,-0,-0,77.04,1823.3,MUS,6,9,10775575125,1255882,7.47,0,0
Mayotte,2012,0,0,0,0,1823.3,MYT,7,10,25303315390,3062782,9.71,0,0
Mozambique,2012,1369.1,206,0.29,809.9,1823.3,MOZ,4.5,9,12794133231,24862673,3.35,32.99999987,0
Namibia,2012,199.83,0,-0,184.47,1823.3,NAM,3,-4,12621419531,2194777,16.77,0,0
Niger,2012,386.76,104.29,2.74,276.24,1823.3,NER,4.5,-1,8884049167,17795209,2.18,91.0000018,0
Nigeria,2012,863.55,444.44,2.29,834.18,1823.3,NGA,5,8,396744000000,167228803,3.74,377.9999962,1
Rwanda,2012,407.63,87.86,1.29,286.2,1823.3,RWA,1.5,-4,7179451021,10549668,1.14,5.000000003,1
Saint Helena,2012,148.14,0,0,148.14,1823.3,SHN,1.5,-7,28696460069,2673794,20.2,36,0
Sao Tome and Principe,2012,26.07,5.48,0.03,4.92,1823.3,STP,7,8,211752219.9,188394,13.59,0,0
Senegal,2012,650.87,126.68,-0,550.01,1823.3,SEN,4.5,7,16990332564,13401990,9.42,18.99999998,0
Seychelles,2012,5.08,0,10.77,4.35,1823.3,SYC,7,9,1059631925,88303,12.57,0,0
Sierra Leone,2012,168.16,59.87,2.48,142.44,1823.3,SLE,1,-9,3156936273,6712586,4.44,0,0
Somalia,2012,610.53,0,68.75,444.82,1823.3,SOM,5.5,8,36021655262,12715487,13.39,31.00000006,1
South Africa,2012,711.91,0,0.94,650.32,1823.3,ZAF,4.5,6,396257000000,52832659,24.73,15.99999985,0
South Sudan,2012,969.55,0,0.7,716.76,1823.3,SSD,2.5,-4,7507789479,10113648,12.59,47.00000053,1
Sudan,2012,832.09,0,68.8,701.84,1823.3,SDN,4.5,6,66074572472,36193781,17.45,35.00000009,1
Eswatini,2012,56.64,-0,3.2,53.38,1823.3,SWZ,4.5,7,4783214188,1079285,25.52,0,0
Tanzania,2012,1651.07,494.33,14.63,1160.11,1823.3,TZA,5,7,36021655262,47053033,3.19,9.999999998,0
Togo,2012,101.11,34.12,3.22,48.66,1823.3,TGO,4.5,6,3887650332,6773807,2.05,0,0
Uganda,2012,881.33,172.58,0.71,654.83,1823.3,UGA,1,-7,30168134365,34558700,3.55,17.99999998,0
Zambia,2012,624.5,72.86,-0,475.26,1823.3,ZMB,3.5,5,23018629943,14465148,7.85,0,0
Zimbabwe,2012,617.84,0,0.1,469.68,1823.3,ZWE,5,8,16042473246,13115149,5.38,0,0
Anguilla,2012,0.48,0,0,0.48,1823.3,AIA,2.5,-6,61493396998,16571252,5.48,31.00000021,0
Antigua and Barbuda,2012,1.43,0,0.03,0.96,1823.3,ATG,6,7,1164186684,90407,12.59,0,0
Barbados,2012,0,0,0,0,1823.3,BRB,7,9,4479000000,283698,11.59,0,0
Belize,2012,3.71,0,-0,3.46,1823.3,BLZ,6,6,1437547882,338001,8.38,0,0
Costa Rica,2012,20.57,0,0.52,17.4,1823.3,CRI,4,4,41236461855,4688003,9.78,7.00000012,0
Cuba,2012,48.11,0,6.7,27.68,1823.3,CUB,5,8,68124437665,11257112,3.46,17.00000033,0
Dominica,2012,14.32,-0,-0,14,1823.3,DMA,7,10,487504047.8,70954,6.42,0,0
Dominican Republic,2012,182.01,-0,0.1,169.11,1823.3,DOM,1,-9,57057281931,9930916,6.72,8.999999834,0
El Salvador,2012,217.62,-0,0.29,180.68,1823.3,SLV,3,-2,19690770418,6237922,3.84,1.000000015,0
Grenada,2012,0.97,2.9,0.01,0.24,1823.3,GRD,7,10,767936889.4,107452,15.26,0,0
Guatemala,2012,249.35,0,0.57,168.49,1823.3,GTM,1.5,-9,43630549585,14781942,2.77,7.000000005,0
Haiti,2012,796.2,78.17,0.39,703.19,1823.3,HTI,1.5,-5,12447744029,10250922,14.1,55.00000029,0
Honduras,2012,180.63,70.74,6.19,139.51,1823.3,HND,3,-4,17125933704,8640692,3.75,0.999999858,0
Jamaica,2012,0.89,0,-0,-0,1823.3,JAM,2.5,4,13366792373,2842128,13.93,0.999999999,0
Mexico,2012,361.86,0,1.42,356.28,1823.3,MEX,2.5,-8,1136490000000,117274156,4.89,37.74690073,0
Montserrat,2012,29.68,0,0,29.68,1823.3,MSR,6,10,9684351571,3642691,9.42,1.999999976,0
Nicaragua,2012,225.7,50.87,7.73,124.92,1823.3,NIC,1,-9,9916943344,5982530,5.21,8.999999992,0
Panama,2012,36.33,0,0.15,34.75,1823.3,PAN,6,9,35975633172,3770635,2.39,7.999999932,0
Saint Kitts and Nevis,2012,2.61,-0,0.02,2.34,1823.3,KNA,7,9,756823228,49881,12.15,0,0
Saint Lucia,2012,0.99,0,0.9,0.52,1823.3,LCA,6,9,1565148855,176654,19.06,0,0
Saint Vincent and the Grenadines,2012,0.01,1.05,-0,-0,1823.3,VCT,6,7,687745232.2,108435,19.33,0,0
Trinidad and Tobago,2012,0,0,0,0,1823.3,TTO,6,9,22373295239,1344814,3.72,0,0
Argentina,2012,55.8,0,2.03,53.86,1823.3,ARG,5,8,444453000000,41733271,7.22,4.000000008,0
Bolivia,2012,305.43,43.5,0.14,132.93,1823.3,BOL,5,8,21731104173,10377677,2.05,12.99999999,0
Brazil,2012,989.77,0,1.73,802.47,1823.3,BRA,4.5,6,2340780000000,199287292,7.19,77.50000123,0
Chile,2012,95.62,0,0.42,64.98,1823.3,CHL,3.5,6,244226000000,17400359,6.66,1,0
Colombia,2012,684.51,0,1.11,581.85,1823.3,COL,3.5,-4,318464000000,46075721,9.74,173,1
Ecuador,2012,115.31,-0,0.73,56.45,1823.3,ECU,2.5,-8,79261137178,15474099,3.24,52.00000222,0
Guyana,2012,29.27,0.9,0.18,28.55,1823.3,GUY,2.5,-7,3810837161,755388,12.67,0,0
Paraguay,2012,42.54,-0,0.15,24.29,1823.3,PRY,1.5,-7,28204173594,6421510,4.09,10.99999906,0
Peru,2012,318.9,0,0.67,235.66,1823.3,PER,3.5,3,166494000000,29506790,2.94,70.50000039,0
Suriname,2012,20.84,0,0.02,13.33,1823.3,SUR,7,10,4748321396,541247,8.1,0,0
Uruguay,2012,4.81,0,0.88,2.81,1823.3,URY,4.5,6,43862934926,3378975,6.45,0,0
Venezuela,2012,29.2,0,0.26,26.62,1823.3,VEN,3,5,432658000000,29360827,6.6,21.99999948,0
Cambodia,2012,548.4,33.85,2.64,331.53,1823.3,KHM,1,-8,12917367180,14780454,0.51,13.99999997,0
China (People's Republic of),2012,264.69,-0,-0,130.88,1823.3,CHN,1,-4,7192930000000,1350695000,4.6,842.0629814,0
Democratic People's Republic of Korea,2012,35.75,0,16.28,14.75,1823.3,PRK,4.5,5,40000088347,24800638,2.9,147.0000001,0
Indonesia,2012,21.01,-0,-0,-0,1823.3,IDN,6,10,850024000000,248451714,4.47,90.99999996,0
Lao People's Democratic Republic,2012,244.04,44.13,12.96,120.69,1823.3,LAO,6,8,8318842593,6444527,0.71,0,0
Malaysia,2012,8.96,0,0.91,21.86,1823.3,MYS,4,6,283214000000,29068189,3.04,5.999999988,0
Mongolia,2012,331.86,21.59,9.34,255,1823.3,MNG,5.5,9,9471480158,2824698,3.91,0,0
Philippines,2012,49.11,-0,0.24,-0,1823.3,PHL,5,8,231334000000,97212639,3.5,449.0000113,1
Thailand,2012,-0,0,0.39,-0,1823.3,THA,4,6,368884000000,67835969,0.58,409.4999992,1
Timor-Leste,2012,179.13,8.48,0.21,45.61,1823.3,TLS,5,8,989200214.8,1133002,3.77,0,0
Viet Nam,2012,2154.69,1013.7,9.9,1618.15,1823.3,VNM,2.5,-4,129629000000,89801926,1.03,44.99999999,0
Afghanistan,2012,5368.81,157.55,220.82,4635.76,1823.3,AFG,2,-6,17954877146,31161378,11.52,333.0000057,1
Armenia,2012,104.73,43.27,6.33,91.03,1823.3,ARM,4.5,7,10393595650,2884239,17.3,2.000000016,0
Azerbaijan,2012,175.4,24.43,13.27,158.57,1823.3,AZE,2,-2,53224258122,9295784,5.19,0,1
Bangladesh,2012,1151.94,405.37,-0,806,1823.3,BGD,2.5,-3,130735000000,151005733,4.06,272,0
Bhutan,2012,64.2,34.16,0.96,31.56,1823.3,BTN,3.5,5,1757118757,701582,2.05,0,0
Georgia,2012,347.81,68.73,10.1,298.89,1823.3,GEO,7,10,13987019318,3728874,19.65,1.999999998,0
India,2012,1250.27,-0,1.77,1151.31,1823.3,IND,3.5,4,1859660000000,1265780243,5.66,334.1529185,1
Kazakhstan,2012,39.12,0,38.1,33.31,1823.3,KAZ,3.5,5,166635000000,16792090,5.29,5.278781064,0
