recipient,year,dac,wb,non_dac,g7,wb_budget,recipient_iso3,pmm_fh,pmm_polity,gdp,pop,unemp,disaster,civilwar
Kyrgyzstan,2008,147.81,26.1,37.29,115.53,1637.1,KGZ,3.5,3,4681938955,5318700,8.22,80.00000068,0
Maldives,2008,18.99,2.83,27.49,9.77,1637.1,MDV,4,4,2600891738,343448,9.71,0,0
Myanmar,2008,397.68,0,8.87,233.15,1637.1,MMR,1,-8,42506544782,49929642,0.71,138366.4963,1
Nepal,2008,405.3,59.09,0.04,263.2,1637.1,NPL,4,6,14605251496,26666581,1.33,114.9999992,0
Pakistan,2008,895.65,-0,82.5,776.13,1637.1,PAK,3.5,5,169563000000,171648984,0.42,248.9999999,1
Sri Lanka,2008,384.62,80.72,6.62,216.72,1637.1,LKA,4,6,50721102373,19983984,5.22,47.99999991,1
Tajikistan,2008,144.75,26.63,10.67,112.36,1637.1,TJK,2.5,-3,5098960779,7209924,11.43,0,0
Turkmenistan,2008,-0,0,8.27,-0,1637.1,TKM,1,-9,19491562208,4935765,4.94,0.894653883,0
Uzbekistan,2008,108.55,12.06,11.78,94.58,1637.1,UZB,1,-9,40151366329,27302800,4.89,0,0
Iran,2008,56.48,0,11.24,42.23,1637.1,IRN,2,-6,455541000000,72120608,10.48,58.00000021,1
Iraq,2008,9421.98,11.46,41.17,8053.04,1637.1,IRQ,2,-7,125926000000,28385739,8.4,4.999999982,1
Jordan,2008,480.69,-0,55.64,442.22,1637.1,JOR,3,-3,25251357245,6556473,12.7,0,0
Lebanon,2008,699.6,0,111.78,610.9,1637.1,LBN,3.5,7,32299474785,4764745,7.45,0,0
Oman,2008,3.86,0,58.57,3.51,1637.1,OMN,2.5,-8,52730900886,2750956,4.14,0,0
Syrian Arab Republic,2008,49.54,-0,-0,30.03,1637.1,SYR,1.5,-7,43630549585,20664037,10.94,0,0
West Bank and Gaza Strip,2008,1309.47,0,155.18,877.87,1637.1,PSE,5.5,9,8428419115,3591977,22.91,0,0
Yemen,2008,187.83,92.49,24.09,146.18,1637.1,YEM,3,-2,27628287079,21892149,12.17,90.00000051,0
Cook Islands,2008,5.27,0,0,-0,1637.1,COK,5,7,864017000000,145924795,11.11,1144.999974,0
Fiji,2008,36.14,0,0.04,9.6,1637.1,FJI,3,-4,3093253760,845356,3.91,7.000000001,0
Kiribati,2008,20.95,0,0.09,7.63,1637.1,KIR,7,8,156321846.4,98760,7.21,0,0
Marshall Islands,2008,57.21,0,0.38,56.38,1637.1,MHL,7,9,145737814.6,56166,8.12,0,0
Nauru,2008,31.21,0,0.45,1.36,1637.1,NRU,7,8,39240729.32,9880,6.77,12.00000018,0
Niue,2008,19.83,0,0,0.05,1637.1,NIU,5,7,14372591916,9930916,2.02,0,0
Palau,2008,43.45,0,0.26,43.03,1637.1,PLW,7,8,198632922.2,18708,8.14,0,0
Papua New Guinea,2008,299.41,-0,-0,-0,1637.1,PNG,4.5,4,12116170365,6976200,2,10,0
Samoa,2008,28.68,1.74,0.21,5.74,1637.1,WSM,6,8,693336597.3,183270,5.18,0,0
Solomon Islands,2008,237.71,-0,-0,9.74,1637.1,SLB,4.5,8,760184982,503366,1.85,0,0
Tokelau,2008,26.04,0,0,0,1637.1,TKL,6,8,4160296612,281107,10.62,0,0
Tonga,2008,25.47,0.54,0.38,4.93,1637.1,TON,4,0,383874011.7,103384,1.31,0,0
Tuvalu,2008,15.57,0,0.41,5.26,1637.1,TUV,7,9,34234035.6,10315,7.47,7.999999938,0
Vanuatu,2008,94.18,-0,0,52.35,1637.1,VUT,6,9,642838337.5,224700,4.31,0,0
Wallis and Futuna,2008,108.33,0,0,108.32,1637.1,WLF,3.5,-6,60300321143,16081915,12.7,0,0
Albania,2009,225.75,24.74,8.66,127.94,1683.5,ALB,6,10,11500613162,2927519,13.67,0,0
Belarus,2009,75.24,0,3.85,38.71,1683.5,BLR,1,-7,53082941364,9506765,6.1,5.418402902,0
Bosnia and Herzegovina,2009,272.82,17.4,21.74,88.81,1683.5,BIH,3,-4,17029363373,3735945,24.07,0,0
Croatia,2009,32.26,0,0.14,18.98,1683.5,HRV,7,10,60717700435,4305181,9.2,1.000000002,0
North Macedonia,2009,129.29,-0,4.73,75.68,1683.5,MKD,1.5,-9,9106448741,2069030,32.18,1.000000016,0
Moldova,2009,101.23,21.23,6.15,57,1683.5,MDA,5.5,10,6512568011,2864346,6.4,0,0
Montenegro,2009,46.04,4.88,2.22,28.01,1683.5,MNE,4,6,4032762451,618294,19.09,0,0
Serbia,2009,276.26,22.31,2.89,193.61,1683.5,SRB,1.5,-7,41515968466,7320807,16.14,0,0
Turkey,2009,481.93,-0,3.21,300.94,1683.5,TUR,5,8,716604000000,71321406,12.55,58.00000006,1
Ukraine,2009,401.13,0,24.17,316.14,1683.5,UKR,5,7,130990000000,46053331,8.84,0,0
